nome,cpf,uf,turma,data_nascimento,email,endereco,período,modulo
Alana Ramos,287.153.964-28,Pará,2,1999-12-28,pteixeira@goncalves.com,"Recanto de da Paz, 2",matutino,introdução ao python
Joana da Mata,742.958.301-60,São Paulo,3,1993-08-24,da-cunhaana-clara@uol.com.br,"Trecho Silveira, 812",matutino,introdução ao python
Júlia Novaes,345.761.829-19,Paraná,2,1991-11-12,miguel15@pinto.com,"Vila de Oliveira, 779",noturno,git
Larissa da Costa,971.386.452-28,Paraná,1,1994-07-29,raquelda-rosa@freitas.br,"Rua de Porto, 5",matutino,git
Nathan Araújo,903.714.685-66,Ceará,3,2001-03-05,bruna66@uol.com.br,"Trevo de Nogueira, 36",matutino,github
Emanuella Freitas,381.706.254-08,Amapá,2,1997-06-04,sfreitas@yahoo.com.br,"Parque Cecília Silveira, 924",noturno,aprofundamento ao python
João Guilherme Peixoto,398.710.465-10,Distrito Federal,1,1991-02-18,kaique26@almeida.com,"Ladeira de Nogueira, 52",vespertino,scrum
Lavínia Rezende,359.082.176-03,Paraíba,1,2002-12-27,freitasmatheus@hotmail.com,"Estrada Beatriz da Mota, 74",matutino,carreiras
Emanuelly Teixeira,963.578.140-75,Paraná,2,1998-11-18,vitorfernandes@bol.com.br,"Ladeira Dias, 70",vespertino,banco de dados
Ian Teixeira,581.234.067-62,Ceará,2,1995-03-30,joaquimaraujo@uol.com.br,"Quadra Renan Pereira, 6",noturno,carreiras
Daniela Rezende,378.205.169-68,São Paulo,1,2001-08-27,heitormoreira@duarte.br,Recanto Helena Ramos,noturno,introdução ao python
João Gabriel Cardoso,831.602.479-96,Pará,1,2004-07-18,vitor-gabrielaraujo@hotmail.com,"Trecho Pires, 315",matutino,banco de dados
Daniela Cardoso,218.697.534-37,Rio Grande do Sul,3,1991-08-21,vieirafrancisco@martins.com,"Praça Joana da Costa, 20",matutino,aprofundamento ao python
Vicente Ribeiro,670.192.358-59,Pará,2,1991-03-23,franciscoda-mota@cardoso.com,"Setor Martins, 29",vespertino,banco de dados
Nina Ribeiro,370.854.692-00,Rio Grande do Sul,1,1994-01-22,juan00@hotmail.com,"Estação Thiago Oliveira, 8",vespertino,introdução ao python
Lívia Silva,751.982.046-76,Rondônia,3,2004-07-19,da-matasabrina@viana.com,"Esplanada Souza, 85",vespertino,github
Pedro Henrique Campos,831.256.097-12,Amapá,2,1994-07-28,caua17@yahoo.com.br,"Setor Marcela Moreira, 62",noturno,git
Rebeca Monteiro,806.173.249-13,Tocantins,2,1991-03-25,milenamelo@monteiro.org,"Fazenda Nascimento, 647",matutino,carreiras
Igor Porto,897.130.465-01,Alagoas,2,2002-02-10,leandro79@melo.com,"Fazenda Moura, 71",vespertino,aprofundamento ao python
Ana Sophia Cunha,651.930.827-77,Sergipe,2,2001-12-25,nascimentocaue@gmail.com,"Recanto Valentina Porto, 64",matutino,github
Maysa Moraes,506.893.124-15,Piauí,2,2001-05-26,davi-lucas43@da.br,"Condomínio Luiz Fernando Carvalho, 50",matutino,github
Thales Martins,681.409.537-84,Ceará,3,1991-12-03,vianavitor@bol.com.br,Lago Amanda Carvalho,vespertino,aprofundamento ao python
Lara Correia,816.507.439-39,Mato Grosso,3,1995-03-05,mda-mota@bol.com.br,"Loteamento de Viana, 694",vespertino,git
Heitor da Cruz,690.485.213-51,Rondônia,2,2004-05-22,martinsraquel@viana.net,"Distrito Marcos Vinicius Pinto, 53",vespertino,carreiras
João Lucas Moura,472.583.619-28,Alagoas,2,1996-09-21,vianabryan@da.com,"Estação Moreira, 35",vespertino,scrum
Kevin Alves,536.870.491-75,Alagoas,3,2003-04-18,joana89@bol.com.br,"Morro Maria Luiza Teixeira, 66",noturno,carreiras
Rafael Mendes,382.915.460-70,Piauí,1,1993-07-27,limakamilly@castro.br,"Passarela Gonçalves, 87",vespertino,banco de dados
Catarina Sales,763.958.014-57,Paraná,2,2004-08-23,nathan46@bol.com.br,"Vereda Lucas Gabriel Rodrigues, 23",matutino,carreiras
Bernardo Nascimento,502.693.478-10,Amazonas,2,1998-08-27,duartemaria-clara@carvalho.br,Feira Farias,vespertino,scrum
Maria Fernanda Nascimento,873.162.490-13,Distrito Federal,1,2003-08-26,cardosoana-carolina@duarte.br,"Travessa Viana, 28",vespertino,github
Eloah Castro,602.987.513-21,Rio Grande do Norte,3,2003-02-24,ucosta@ferreira.com,"Vila Gabriela da Rocha, 99",noturno,introdução ao python
João Miguel Viana,491.672.053-99,Amazonas,3,2003-06-21,gabriel88@aragao.com,"Aeroporto Felipe Alves, 47",vespertino,git
Marcos Vinicius Oliveira,167.824.935-19,Sergipe,3,1996-09-13,ryandias@uol.com.br,"Rodovia da Costa, 53",vespertino,introdução ao python
Nina Oliveira,604.795.382-47,Distrito Federal,2,1995-09-06,kaique74@ig.com.br,Praia Nicole Ribeiro,matutino,introdução ao python
Daniela Melo,178.903.462-04,Alagoas,2,1999-05-24,hda-luz@da.com,"Lagoa de Mendes, 833",vespertino,banco de dados
Gabrielly Lima,356.794.028-74,Amapá,2,1994-01-25,rebeca90@yahoo.com.br,"Esplanada de das Neves, 97",vespertino,scrum
Camila Jesus,085.341.769-57,Rondônia,1,1999-08-28,bsantos@duarte.net,"Parque Diego Melo, 73",noturno,github
Gabrielly Barros,378.906.124-78,Paraíba,3,1992-06-11,beatrizda-mota@dias.com,"Condomínio Ana Carolina da Mata, 3",vespertino,github
Bernardo Caldeira,593.074.681-84,Amazonas,3,1997-08-29,martinsfrancisco@yahoo.com.br,"Via de Carvalho, 32",noturno,github
Evelyn Moreira,691.238.740-31,Santa Catarina,3,2000-04-07,matheus59@goncalves.com,"Alameda de da Cruz, 26",noturno,scrum
Daniel Aragão,491.267.850-30,Mato Grosso do Sul,2,1990-11-15,larissada-mota@bol.com.br,"Ladeira Santos, 20",noturno,aprofundamento ao python
Thales da Mota,346.798.105-48,Goiás,1,1996-06-12,arthurduarte@cardoso.br,"Via Fernandes, 42",vespertino,banco de dados
Marcelo Barros,792.063.584-56,Alagoas,3,1992-11-15,gcosta@ig.com.br,"Lago Ana Beatriz Jesus, 895",matutino,git
João Lucas Lopes,042.876.935-74,Bahia,1,2002-03-20,wmoura@cardoso.com,"Chácara Rocha, 96",noturno,git
Alexandre Porto,360.214.857-26,Bahia,1,1991-07-22,nicolasduarte@uol.com.br,"Fazenda Luigi Viana, 5",matutino,github
Ryan Melo,702.546.138-53,Rondônia,1,1995-02-20,duarteheitor@yahoo.com.br,"Recanto de Cardoso, 29",vespertino,banco de dados
Ana Laura Ferreira,639.480.715-00,Amazonas,2,1993-08-28,fogacalorenzo@sales.br,"Distrito de da Mata, 2",matutino,aprofundamento ao python
Sarah Viana,436.810.529-05,Rondônia,2,1997-04-04,yazevedo@melo.com,"Condomínio de da Paz, 293",noturno,github
João Gabriel da Rosa,716.524.398-46,Maranhão,3,1997-08-29,haragao@uol.com.br,Viaduto da Mata,vespertino,banco de dados
Calebe Viana,201.347.586-17,Roraima,3,2002-05-19,ncardoso@goncalves.br,Distrito Cavalcanti,noturno,carreiras
Olivia Lopes,856.173.942-82,Santa Catarina,3,2001-08-31,joao-gabrielsouza@cardoso.br,"Sítio de Dias, 17",noturno,aprofundamento ao python
Ian Pinto,126.043.987-96,Paraíba,1,1995-05-09,miguel81@da.com,"Rodovia da Cruz, 97",noturno,github
Rebeca Pinto,749.586.013-84,Paraná,2,1999-03-04,vitoria15@nascimento.com,"Parque da Rocha, 70",noturno,introdução ao python
Maitê Silveira,018.397.564-20,Espírito Santo,3,2001-05-31,joaocosta@yahoo.com.br,"Parque de da Mota, 32",matutino,banco de dados
Kevin Oliveira,264.387.159-64,Amazonas,2,1999-11-02,dmartins@campos.com,"Via de Castro, 22",noturno,github
Pedro Henrique Costa,231.975.068-12,Roraima,3,1996-08-22,ribeirodavi-luiz@cardoso.com,"Área Júlia Lima, 14",matutino,introdução ao python
Ana Lívia Farias,860.539.217-77,Minas Gerais,2,1995-03-29,jramos@azevedo.net,"Lagoa Nunes, 57",matutino,introdução ao python
André Peixoto,057.421.839-41,Rondônia,2,1999-09-14,isabelly57@uol.com.br,"Vila Mendes, 7",noturno,introdução ao python
Lucas Lima,038.415.679-75,Rio de Janeiro,2,2004-01-11,viniciusfogaca@bol.com.br,"Recanto Costa, 25",vespertino,carreiras
Thales Fogaça,549.816.302-98,Minas Gerais,3,2003-08-14,cardosojoao-gabriel@nogueira.net,"Alameda Sophie Araújo, 615",noturno,github
Daniela Teixeira,719.463.085-01,Roraima,2,1992-12-18,uda-luz@uol.com.br,"Esplanada de Farias, 84",vespertino,github
Clara Almeida,197.835.260-30,Ceará,2,2005-05-29,gustavo72@da.br,"Quadra de Ribeiro, 650",noturno,github
